UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;LEUKEMIA;PHOSPHORYLATION OF SOS1 ON TYROSINE 1196 PROMOTES ITS RAC GEF ACTIVITY AND CONTRIBUTES TO BCR-ABL LEUKEMOGENESIS;"SALEK, M.;";" CEA, BIG, BIOL GRANDE ECHELLE, F-38054 GRENOBLE, FRANCE.; ";;
;SCIENTIFIC REPORTS;CYTOSKELETON STABILITY IS ESSENTIAL FOR THE INTEGRITY OF THE CEREBELLUM AND ITS MOTOR- AND AFFECTIVE-RELATED BEHAVIORS;ANDRIEUX, ANNIE;" CEA, BIG GPC, F-38000 GRENOBLE, FRANCE.; ";;
;BIOCHEMICAL JOURNAL;FUNCTIONAL CHARACTERIZATION OF THE CA2+-ATPASE SMA1 FROM SCHISTOSOMA MANSONI;"MARECHAL, XAVIER; MIRAS, ROGER; CATTY, PATRICE";" CEA, DRF, BIG, F-38054 GRENOBLE, FRANCE.; ";;
;2018 IEEE INTERNATIONAL ELECTRON DEVICES MEETING (IEDM);VERY LARGE SCALE INTEGRATION OPTOMECHANICS: A CURE FOR LONELINESS OF NEMS RESONATORS?;"DOMINGUEZ-MEDINA, SERGIO; MASSELON, CHRISTOPHE";" CEA, BIG, BIOL GRANDE ECHELLE, F-38054 GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY;EVALUATION OF THE ACCURACY OF EXCHANGEABLE COPPER AND RELATIVE EXCHANGEABLE COPPER (REC) IN A MOUSE MODEL OF WILSON'S DISEASE;"HAREL, AMELIE; UM, KHEMARY; MINTZ, ELISABETH";" CNRS, BIG LCBM, F-38000 GRENOBLE, FRANCE.; ";;
;JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY;EVALUATION OF THE ACCURACY OF EXCHANGEABLE COPPER AND RELATIVE EXCHANGEABLE COPPER (REC) IN A MOUSE MODEL OF WILSON'S DISEASE;"HAREL, AMELIE; UM, KHEMARY; MINTZ, ELISABETH";" CEA, BIG LCBM BIOMET, F-38000 GRENOBLE, FRANCE.; ";;
;MOLECULAR BIOLOGY OF THE CELL;IDENTIFICATION AND CHARACTERIZATION OF VASOHIBINS/SVBP AS LONG-SOUGHT ALPHA-TUBULIN DETYROSINATING ENZYMES: IMPORTANCE FOR NEURON AND BRAIN.;"ANDRIEUX, A.;";" CEA, BIG GPC, GRENOBLE, FRANCE.;";;
;JOURNAL OF HYPERTENSION;NON-ADHERENCE TO ANTIHYPERTENSIVE TREATMENT IS A MAJOR DETERMINANT OF THE CLINIC-AMBULATORY BP DIFFERENCE IN PATIENTS WITH RESISTANT HYPERTENSION;"ORMEZZANNO, O.;";" CHU GRENOBLE, HOP AVICENNE, GRENOBLE BOBIGNY, FRANCE.;";;
;JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY;IRON-SULFUR CLUSTERS BIOGENESIS BY THE SUF MACHINERY: CLOSE TO THE MOLECULAR MECHANISM UNDERSTANDING (VOL 23, PG 581, 2018);"PERARD, J.;; DE CHOUDENS, SANDRINE OLLAGNIER";" CEA GRENOBLE, DRF BIG CBM, GRENOBLE, FRANCE.;";;
;REPRODUCTION;SLO3 K+ CHANNEL BLOCKER CLOFILIUM EXTENDS BULL AND MOUSE SPERM-FERTILIZING COMPETENCE;"NAHED, ROLAND ABI; MARTINEZ, GUILLAUME; HOGRAINDLEUR, JEAN PASCAL; LE BLEVEC, EMILIE; RAY, PIERRE F.;; ESCOFFIER, JESSICA; ARNOULT, CHRISTOPHE";" INSERM U1209, INST ADV BIOSCI, CNRS UMR5309, GRENOBLE, FRANCE.; ";;
;ENVIRONMENT INTERNATIONAL;RESIDENTIAL AIR POLLUTION DOES NOT MODIFY THE POSITIVE ASSOCIATION BETWEEN PHYSICAL ACTIVITY AND LUNG FUNCTION IN CURRENT SMOKERS IN THE ECRHS STUDY;SIROUX, VALERIE;" UGA, INST ADV BIOSCI, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, INSERM,U1209,CNRS,UMR 5309, GRENOBLE, FRANCE.; ";;
;ANNALES DE BIOLOGIE CLINIQUE;DEVELOPMENT OF DIGITAL PCR MOLECULAR TESTS FOR CLINICAL PRACTICE: PRINCIPLES, PRACTICAL IMPLEMENTATION AND RECOMMENDATIONS;BUSSER, BENOIT;" UGA, INST ADV BIOSCI, INSERM U1209, CNRS,UMR5309, GRENOBLE, FRANCE.; ";;
;PLOS BIOLOGY;PROTEIN KINASE A NEGATIVELY REGULATES CA2+ SIGNALLING IN TOXOPLASMA GONDII;"KATRIS, NICHOLAS J.;; BOTTE, CYRILLE Y.;";" UNIV GRENOBLE ALOES, INST ADV BIOSCI, CNRS, UMR5309,INSERM,U1209, GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF EPIDEMIOLOGY;A THREE-GENERATION STUDY ON THE ASSOCIATION OF TOBACCO SMOKING WITH ASTHMA;PIN, ISABELLE;" INST ADV BIOSCI, INSERM 1209, GRENOBLE, FRANCE.; ";;
;JOURNAL OF CELL SCIENCE;THE CCM1-CCM2 COMPLEX CONTROLS COMPLEMENTARY FUNCTIONS OF ROCK1 AND ROCK2 THAT ARE REQUIRED FOR ENDOTHELIAL INTEGRITY;"LISOWSKA, JUSTYNA; MANET, SANDRA; MIROSHNIKOVA, YEKATERINA A.;; BOYAULT, CYRIL; PLANUS, EMMANUELLE; DESTAING, OLIVIER; ALBIGES-RIZO, CORINNE; FAUROBERT, EVA";" INST ADV BIOSCI, INSERM, U1209, F-38700 LA TRONCHE, FRANCE.; ";;
;JOURNAL OF CELL SCIENCE;THE CCM1-CCM2 COMPLEX CONTROLS COMPLEMENTARY FUNCTIONS OF ROCK1 AND ROCK2 THAT ARE REQUIRED FOR ENDOTHELIAL INTEGRITY;"LISOWSKA, JUSTYNA; MANET, SANDRA; MIROSHNIKOVA, YEKATERINA A.;; BOYAULT, CYRIL; PLANUS, EMMANUELLE; DESTAING, OLIVIER; ALBIGES-RIZO, CORINNE; FAUROBERT, EVA";" INST ADV BIOSCI, CNRS, UMR 5309, F-38700 LA TRONCHE, FRANCE.; ";;
;SCIENTIFIC REPORTS;MAPPING OF ADENOVIRUS OF SEROTYPE 3 FIBRE INTERACTION TO DESMOGLEIN 2 REVEALED A NOVEL 'NON-CLASSICAL' MECHANISM OF VIRAL RECEPTOR ENGAGEMENT;ZUBIETA, CHLOE;" UGA, CNRS, LAB PHYSIOL CELLULAIRE & VEGETALE, BIOSCI & BIOTECHNOL INST GRENOBLE,UMR5168,CEA,INR, 17 RUE MARTYRS, F-38054 GRENOBLE, FRANCE.;";;
;CANCER;HEPATOCELLULAR CARCINOMA IS DIAGNOSED AT A LATER STAGE IN ALCOHOLIC PATIENTS: RESULTS OF A PROSPECTIVE, NATIONWIDE STUDY;DECAENS, THOMAS;" NATL INST HLTH & MED RES, INST ADV BIOSCI, UNIT 1209, GRENOBLE, FRANCE.;";;
;LANCET RESPIRATORY MEDICINE;DNA METHYLATION IN CHILDHOOD ASTHMA: AN EPIGENOME-WIDE META-ANALYSIS;LEMONNIER, NATHANAEL;" UGA, INST ADV BIOSCI, INSERM U1209, CNRS UMR5309, SITE SANTE,ALLEE ALPES, LA TRONCHE, FRANCE.; ";;
;PLOS ONE;BETA 1 INTEGRINS MEDIATE THE BMP2 DEPENDENT TRANSCRIPTIONAL CONTROL OF OSTEOBLAST DIFFERENTIATION AND OSTEOGENESIS;"BRUNNER, MOLLY; MANDIER, NOERNIE; GAUTIER, THIERRY; CHEVALIER, GENEVIEVE; RIBBAL, ANNE-SOPHIE; BLOCK, MARC R.;; BOUVARD, DANIEL";" UNIV GRENOBLE ALOES, INST ADV BIOSCIE, CNRS 5309, CTR RECH NSERM 1209, GRENOBLE, FRANCE.; ";;
;NANOMATERIALS;IN VITRO DERMAL SAFETY ASSESSMENT OF SILVER NANOWIRES AFTER ACUTE EXPOSURE: TISSUE VS. CELL MODELS;GRICHINE, ALEXEI;" INSERM, UGA, INST ADV BIOSCI, F-38000 GRENOBLE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;OUTDOOR AIR POLLUTION, EXHALED 8-ISOPROSTANE AND CURRENT ASTHMA IN ADULTS THE EGEA STUDY;SIROUX, VALERIE;" CNRS UMR 5309, INSERM U1209, CTR RECH UGA, INST ADV BIOSCI,EQUIPE EPIDEMIOL ENVIRONM, GRENOBLE, FRANCE.; ";;
