UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
 ;JOURNAL OF APPLIED PHYSICS;STRUCTURAL, ELECTRONIC, AND OPTICAL PROPERTIES OF THE C-C COMPLEX IN BULK SILICON FROM FIRST PRINCIPLES;"TIMERKAEVA, DILYARA; BRENET, GILLES; CALISTE, DAMIEN; POCHET, PASCAL";" CEA, INAC, MEM, LAB SIMULAT ATOMIST L SIM, F-38054 GRENOBLE 9, FRANCE.; ";;
 ;PHYSICAL REVIEW LETTERS;HIGHLY EFFICIENT SPIN-TO-CHARGE CURRENT CONVERSION IN STRAINED HGTE SURFACE STATES PROTECTED BY A HGCDTE LAYER;"HAAS, B.;; JOUNEAU, P-H.;";" CEA, INAC MEM, F-38054 GRENOBLE, FRANCE.; ";;
 ;NANO LETTERS;SPLIT-CHANNEL BALLISTIC TRANSPORT IN AN INSB NANOWIRE;NIQUET, YANN-MICHEL;" CEA, INAC MEM, F-38000 GRENOBLE, FRANCE.; ";;
 ;PHYSICAL REVIEW LETTERS;ELECTRICAL SPIN DRIVING BY G-MATRIX MODULATION IN SPIN-ORBIT QUBITS;"BOURDET, LEO; NIQUET, YANN-MICHEL";" CEA, INAC, MEM, F-38000 GRENOBLE, FRANCE.; ";;
 ;NANOSCALE;CRYSTALLOGRAPHIC ORIENTATION OF FACETS AND PLANAR DEFECTS IN FUNCTIONAL NANOSTRUCTURES ELUCIDATED BY NANO-FOCUSED COHERENT DIFFRACTIVE X-RAY IMAGING;EYMERY, JOEL;" CEA, INAC MEM, NANOSTRUCT & SYNCHROTRON RADIAT LAB, F-38000 GRENOBLE, FRANCE.; ";;
 ;JOURNAL OF ALLOYS AND COMPOUNDS;OBSERVATION OF COLOSSAL MAGNETOCALORIC EFFECT AND ITS DEPENDENCE ON APPLIED HYDROSTATIC PRESSURE IN THERMALLY CYCLED MN0.53FE0.47NISI0.53GE0.47 ALLOY;"CHATTOPADHYAY, S.;";" CEA GRENOBLE, INAC MEM, F-38000 GRENOBLE, FRANCE.;";;
 ;PHYSICAL REVIEW B;EXPERIMENTAL EVIDENCE FOR THE MICROSCOPIC MECHANISM OF THE UNUSUAL SPIN-INDUCED ELECTRIC POLARIZATION IN GDMN2O5;"CHATTOPADHYAY, S.;";" CEA GRENOBLE, INAC MEM, F-38000 GRENOBLE, FRANCE.; ";;
 ;NPJ QUANTUM INFORMATION;ELECTRICALLY DRIVEN ELECTRON SPIN RESONANCE MEDIATED BY SPIN-VALLEY-ORBIT COUPLING IN A SILICON QUANTUM DOT;"BOURDET, LEO; NIQUET, YANN-MICHEL";" CEA, INAC MEM, 17 RUE MARTYRS, F-38000 GRENOBLE, FRANCE.; ";;
 ;ACS NANO;MASSLESS DIRAC FERMIONS IN ZRTE2 SEMIMETAL GROWN ON INAS(111) BY VAN DER WAALS EPITAXY;"ALVAREZ, CARLOS; OKUNO, HANAKO; RENAUD, GILLES";" CEA INAC MEM, F-38054 GRENOBLE 9, FRANCE.; ";;
 ;APPLIED PHYSICS LETTERS;STRAIN, STRESS, AND MECHANICAL RELAXATION IN FIN-PATTERNED SI/SIGE MULTILAYERS FOR SUB-7NM NANOSHEET GATE-ALL-AROUND DEVICE TECHNOLOGY;"ROUVIERE, J.; -L.;";" CEA GRENOBLE, INAC MEM, F-38054 GRENOBLE, FRANCE.;";;
 ;SCIENTIFIC REPORTS;DISTINCT DOMAIN SWITCHING IN ND0.05CE0.95COIN5 AT LOW AND HIGH FIELDS;"RAYMOND, S.;; RESSOUCHE, E.;";" CEA, INAC, MEM, F-38000 GRENOBLE, FRANCE.; ";;
 ;2018 CONFERENCE ON PRECISION ELECTROMAGNETIC MEASUREMENTS (CPEM 2018);FROM ELECTRON PUMPS TO SPIN QUANTUM BITS IN SILICON;"NIQUET, Y.; M.;";" CEA, INAC, MEMS, F-38000 GRENOBLE, FRANCE.; ";;
PACTE;;;;;;
;EARTH SURFACE PROCESSES AND LANDFORMS;QUANTIFICATION OF CLIFF RETREAT IN COASTAL QUATERNARY SEDIMENTS USING ANATOMICAL CHANGES IN EXPOSED TREE ROOTS;ROVERA, GEORGES;" CNRS, UMR PACTE TERR 5194, GRENOBLE, FRANCE.; ";;
;MOUNTAIN RESEARCH AND DEVELOPMENT;MIGRATION BY NECESSITY AND BY FORCE TO MOUNTAIN AREAS: AN OPPORTUNITY FOR SOCIAL INNOVATION;PERLIK, MANFRED;" UNIV GRENOBLE, LAB SOCIAL SCI, PACTE, 14BIS AVE MARIE REYNOARD, F-38100 GRENOBLE, FRANCE.; ";;
PHELIQS;;;;;;
 ;PHYSICAL REVIEW LETTERS;COOPERATIVE CHARGE PUMPING AND ENHANCED SKYRMION MOBILITY;"WESTON, JOSEPH; WAINTAL, XAVIER";" CEA, INAC PHELIQS, F-38000 GRENOBLE, FRANCE.;";;
 ;IEEE TRANSACTIONS ON ELECTRON DEVICES;ALL-ELECTRICAL CONTROL OF A HYBRID ELECTRON SPIN/VALLEY QUANTUM BIT IN SOI CMOS TECHNOLOGY;"CORNA, ANDREA; BOHUSLAVSKYI, HEORHII; AMISSE, ANTHONY; CRIPPA, ALESSANDRO; MAURAND, ROMAIN; SANQUER, MARC; JEHL, XAVIER; DE FRANCESCHI, SILVANO";" CEA, INAC PHELIQS, F-38054 GRENOBLE, FRANCE.; ";;
 ;NPJ QUANTUM MATERIALS;THE DOMINANT ROLE OF CRITICAL VALENCE FLUCTUATIONS ON HIGH T-C SUPERCONDUCTIVITY IN HEAVY FERMIONS;"LAPERTOT, GERARD; AOKI, DAI";" UJF GRENOBLE 1, INAC, CEA, PHELIQS,UMR E 9001, F-38054 GRENOBLE, FRANCE.; ";;
 ;NANO LETTERS;BALLISTIC ONE-DIMENSIONAL HOLES WITH STRONG G-FACTOR ANISOTROPY IN GERMANIUM;"MIZOKUCHI, R.;; MAURAND, R.;; VIGNEAU, F.;; DE FRANCESCHI, S.;";" CEA, INAC, PHELIQS, F-38000 GRENOBLE, FRANCE.; ";;
 ;ACS APPLIED MATERIALS & INTERFACES;SELF-ASSEMBLED UV PHOTODETECTOR MADE BY DIRECT EPITAXIAL GAN GROWTH ON GRAPHENE;GAYRAL, BRUNO;" CEA, INAC PHELIQS, F-38000 GRENOBLE, FRANCE.; ";;
 ;NANO LETTERS;SPLIT-CHANNEL BALLISTIC TRANSPORT IN AN INSB NANOWIRE;"SALDANA, JUAN CARLOS ESTRADA; CLEUZIOU, JEAN-PIERRE; LEE, EDUARDO J.; H.;; DE FRANCESCHI, SILVAN";" CEA, INAC PHELIQS, F-38000 GRENOBLE, FRANCE.; ";;
 ;PHYSICAL REVIEW LETTERS;ELECTRICAL SPIN DRIVING BY G-MATRIX MODULATION IN SPIN-ORBIT QUBITS;"CRIPPA, ALESSANDRO; MAURAND, ROMAIN; KOTEKAR-PATIL, DHARMRAJ; AMISSE, ANTHONY; JEHL, XAVIER; SANQUER, MARC; BOHUSLAVSKYI, HEORHII; DE FRANCESCHI, SILVANO";" CEA, INAC, PHELIQS, F-38000 GRENOBLE, FRANCE.; ";;
 ;NPJ QUANTUM INFORMATION;ELECTRICALLY DRIVEN ELECTRON SPIN RESONANCE MEDIATED BY SPIN-VALLEY-ORBIT COUPLING IN A SILICON QUANTUM DOT;"CORNA, ANDREA; MAURAND, ROMAIN; CRIPPA, ALESSANDRO; KOTEKAR-PATIL, DHARMRAJ; BOHUSLAVSKYI, HEORHII; JEHL, XAVIER; DE FRANCESCHI, SILVANO; SANQUER, MARC";" CEA, INAC PHELIQS, 17 RUE MARTYRS, F-38000 GRENOBLE, FRANCE.; ";;
 ;SCIENTIFIC REPORTS;DISTINCT DOMAIN SWITCHING IN ND0.05CE0.95COIN5 AT LOW AND HIGH FIELDS;"LAPERTOT, G.;";" CEA, INAC, PHELIQS, F-38000 GRENOBLE, FRANCE.;";;
 ;NANOTECHNOLOGY;AXIAL P-N JUNCTION AND SPACE CHARGE LIMITED CURRENT IN SINGLE GAN NANOWIRE;"FANG, ZHIHUA; DAUDIN, BRUNO";" CEA, INAC, PHELIQS, NANOPHYS & SEMICOND GRP, F-38000 GRENOBLE, FRANCE.; ";;
 ;2018 IEEE 18TH INTERNATIONAL CONFERENCE ON NANOTECHNOLOGY (IEEE-NANO);DEVELOPMENT OF SPIN QUANTUM BITS IN SOI CMOS TECHNOLOGY;"BOURDET, L.;; CORNA, A.;; BOHUSLAVSKYI, H.;; CRIPPA, A.;; MAURAND, R.;; SANQUER, M.;; JEHL, X.;; DE FRANCERSCHI, S.;; NIQUET, Y.; -M.;";" CEA, INAC PHELIQS, MINATEC CAMPUS, F-38054 GRENOBLE, FRANCE.; ";;
 ;2018 CONFERENCE ON PRECISION ELECTROMAGNETIC MEASUREMENTS (CPEM 2018);FROM ELECTRON PUMPS TO SPIN QUANTUM BITS IN SILICON;"JEHL, X.;; MAURAND, R.;; CRIPPA, A.;; CORNA, A.;; SANQUER, M.;; DE FRANCESCHI, S.;";" CEA, INAC, PHELIQS, F-38000 GRENOBLE, FRANCE.; ";;
SBT;;;;;;
SIMAP;;;;;;
;JOURNAL OF POWER SOURCES;DOUBLE-SHELLED HOLLOW HETERO-MNCO2S4/COS1.097 SPHERES WITH CARBON COATING FOR ADVANCED SUPERCAPACITORS;"GAGNOUD, ANNIE; FAUTRELLE, YVES; LI, XI";" CNRS, G INP, SIMAP EPM MADYLAM, PHELMA, BP 75, F-38402 ST MARTIN DHERES, FRANCE.;";;
;JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY;EFFECT OF THE SIMULTANEOUS APPLICATION OF A HIGH STATIC MAGNETIC FIELD AND A LOW ALTERNATING CURRENT ON GRAIN STRUCTURE AND GRAIN BOUNDARY OF PURE ALUMINUM;"FAUTRELLE, YVES; LI, XI";" PHELMA, SIMAP EPM MADYLAM G INP CNRS, BP 75, F-38402 ST MARTIN DHERES, FRANCE.;";;
;METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE;PASSIVATION THRESHOLD FOR THE OXIDATION OF LIQUID SILICON AND THERMODYNAMIC NON-EQUILIBRIUM IN THE GAS PHASE;"VADON, MATHIEU; CHICHIGNOUD, GUY; DELANNOY, YVES";" SIMAP, 1340 RUE PISCINE, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;HERITAGE SCIENCE;NOVEL CHARACTERIZATION TECHNIQUES FOR CULTURAL HERITAGE USING A TEM ORIENTATION IMAGING IN COMBINATION WITH 3D PRECESSION DIFFRACTION TOMOGRAPHY: A CASE STUDY OF GREEN AND WHITE ANCIENT ROMAN GLASS TESSERAE;"RAUCH, EDGAR F.;";" UJF, CNRS, GRENOBLE INP, SIMAP, BP 46, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;CHEMICAL ENGINEERING JOURNAL;3D SANDWICH-SHAPED GRAPHENE-BASED NANOCOMPOSITE INTERCALATED WITH DOUBLE-SHELLED HOLLOW MNCO2O4 SPHERES AS ANODE MATERIALS FOR LITHIUM-ION BATTERIES;"GAGNOUD, ANNIE; FAUTRELLE, YVES; MOREAU, RENE; LI, XI";" PHELMA, CNRS, G INP, SIMAP EPM MADYLAM, BP 75, F-38402 ST MARTIN DHERES, FRANCE.;";;
;METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;THERMOELECTRIC-MAGNETIC-CONVECTION-INDUCED BAND-STRUCTURE GROWTH IN PERITECTIC ALLOYS DIRECTIONALLY SOLIDIFIED UNDER STATIC MAGNETIC FIELDS;"FAUTRELLE, YVES; LI, XI";" SIMAP EPM MADYLAM G INP CNRS, F-38402 ST MARTIN DHERES, FRANCE.;";;
;METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;EFFECT OF AG CONTENT ON THE MICROSTRUCTURE AND CRYSTALLIZATION OF COUPLED EUTECTIC GROWTH IN DIRECTIONALLY SOLIDIFIED AL-CU-AG ALLOYS;"FAUTRELLE, YVES; LI, XI";" PHELMA, CNRS, G INP, SIMAP EPM MADYLAM, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;METALS;CRYSTALLIZATION KINETICS AND CONSOLIDATION OF AL82LA10FE4NI4 GLASSY ALLOY POWDER BY SPARK PLASMA SINTERING;JORGE JR, ALBERTO MOREIRA;" CNRS, SIMAP, F-38000 GRENOBLE, FRANCE.; ";;
;POLYHEDRON;SYNTHESIS, CHARACTERIZATION AND THERMAL TRANSPORT PROPERTIES OF HETEROLEPTIC N-ALKYL TRIAZENIDE COMPLEXES OF TITANIUM(IV) AND NIOBIUM(V);MANTOUX, ARNAUD;" GRENOBLE ALPES, CNRS, GRENOBLE INP, SIMAP, F-38000 GRENOBLE, FRANCE.;";;
;JOURNAL OF PHYSICS D-APPLIED PHYSICS;SELECTIVE LASER-ASSISTED DEPOSITION OF SILVER NANOPARTICLES ON A MG-2WT.%CA SUBSTRATE;"JAY, O.;; DONNADIEU, P.;; BLANDIN, J-J";" CNRS, SIMAP, F-38000 GRENOBLE, FRANCE.;";;
;JOURNAL OF PHYSICAL CHEMISTRY C;ROLE OF IMPURITIES IN THE KINETIC PERSISTENCE OF AMORPHOUS CALCIUM CARBONATE: A NANOSCOPIC DYNAMICS VIEW;POLONI, ROBERTA;" CNRS, SIMAP, F-38000 GRENOBLE, FRANCE.; ";;
;SCIENTIFIC REPORTS;INFLUENCE OF A TRANSVERSE STATIC MAGNETIC FIELD ON THE ORIENTATION AND PERITECTIC REACTION OF CU-10.5 AT.% SN PERITECTIC ALLOY;"FAUTRELLE, YVES; LI, XI";" PHELMA, SIMAP EPM MADYLAM G INP CNRS, F-38402 ST MARTIN DHERES, FRANCE.;";;
;MATERIALS CHARACTERIZATION;IN-SITU FABRICATION OF GRADED MATERIAL WITH THE APPLICATION OF A HORIZONTAL MAGNETIC FIELD DURING DIRECTIONAL SOLIDIFICATION;"FAUTRELLE, YVES; LI, XI";" PHELMA, SIMAP EPM MADYLAM G INP CNRS, BP 75, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;COATINGS;CHROMIUM CARBIDE GROWTH BY DIRECT LIQUID INJECTION CHEMICAL VAPOR DEPOSITION IN LONG AND NARROW TUBES, EXPERIMENTS, MODELING AND SIMULATION;"NUTA, IOANA; BOICHOT, RAPAHEL; PONS, MICHEL";" UNIV GRENOBLE ALPS, INST ENGN, SIMAP, GRENOBLE INP,CNRS, F-38000 GRENOBLE, FRANCE.;";;
;METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE;MOTION OF SOLID GRAINS DURING MAGNETIC FIELD-ASSISTED DIRECTIONAL SOLIDIFICATION;FAUTRELLE, YVES;" SIMAP EPM, 1130 RUE PISCINE BP 75 ENSEEG, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE;CFD MODELING OF BORON REMOVAL FROM LIQUID SILICON WITH COLD GASES AND PLASMA;"VADON, MATHIEU; NUTA, IOANA; CHATILLON, CHRISTIAN; CHICHIGNOUD, GUY; DELANNOY, YVES";" SIMAP, 1340 RUE PISCINE, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;SCIENTIFIC REPORTS;FABRICATION OF ALUMINUM ALLOY FUNCTIONALLY GRADED MATERIAL USING DIRECTIONAL SOLIDIFICATION UNDER AN AXIAL STATIC MAGNETIC FIELD;"HU, SHAODONG; GAGNOUD, ANNIE; FAUTRELLE, YVES; MOREAU, RENE; LI, XI";" PHELMA, SIMAP EPM MADYLAM G INP CNRS, F-38402 ST MARTIN DHERES, FRANCE.;";;
;MATERIALS & DESIGN;FORMATION OF HIGHLY POROUS NICO2S4 DISCS WITH ENHANCED PSEUDOCAPACITIVE PROPERTIES THROUGH SEQUENTIAL ION-EXCHANGE;"GAGNOUD, ANNIE; FAUTRELLE, YVES; LI, XI";" PHELMA, SIMAP EPM MADYLAM G INP CNRS, BP 75, F-38402 ST MARTIN DHERES, FRANCE.;";;
;JOM;THERMO-ELECTRIC-MAGNETIC HYDRODYNAMICS IN SOLIDIFICATION: IN SITU OBSERVATIONS AND THEORY;"FAUTRELLE, Y.;";" GRENOBLE INST TECHNOL, SIMAP EPM, 1130 RUE PISCINE BP 75 ENSEEG, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;MICROCHEMICAL JOURNAL;A NOVELTY FOR CULTURAL HERITAGE MATERIAL ANALYSIS: TRANSMISSION ELECTRON MICROSCOPE (TEM) 3D ELECTRON DIFFRACTION TOMOGRAPHY APPLIED TO ROMAN GLASS TESSERAE;"RAUCH, E.;";" GRENOBLE INP CNRS UJF, SIMAP, BP 46, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;ACTA MATERIALIA;ISOTHERMAL DECOMPOSITION OF CARBON AND NITROGEN-ENRICHED AUSTENITE IN 23MNCRMO5 LOW-ALLOY STEEL;"VAN LANDEGHEM, H.; P.;";" CNRS, UGA, GRENOBLE INP, SIMAP,UMR 5266, 1130 RUE PISCINE,BP 75, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING;MODAL BASIS APPROACHES IN SHAPE AND TOPOLOGY OPTIMIZATION OF FREQUENCY RESPONSE PROBLEMS;MICHAILIDIS, GEORGIOS;" UNIV GRENOBLE, INPG, SIMAP, F-38000 GRENOBLE, FRANCE.;";;
;EPL;MAGNETIC FIELD INDUCED BAND FORMATION AND CRYSTAL ORIENTATION IN DIRECTIONALLY SOLIDIFIED CU-20 WT.% SN PERITECTIC ALLOYS;"GAGNOUD, ANNIE; FAUTRELLE, YVES; MOREAU, RENE; LI, XI";" CNRS, PHELMA, G INP, SIMAP EPM MADYLAM, BP 75, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;ELECTROCHIMICA ACTA;COBALT PORPHYRIN AND SALCOMINE AS NOVEL REDOX SHUTTLE SPECIES TO ENHANCE THE OXYGEN EVOLUTION REACTION IN LI-O-2 BATTERIES;"BLANCHARD, REMI; MANTOUX, ARNAUD";" CNRS, SIMAP, F-38000 GRENOBLE, FRANCE.; ";;
;9TH INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC PROCESSING OF MATERIALS (EPM2018);NUMERICAL SIMULATION OF SURFACE DEFORMATIONS IN A THREE-FLUID PROCESS STIRRED BY LOW FREQUENCY MAGNETIC FIELD;"BOURROU, R.;; GAGNOUD, A.;; BUDENKOVA, O.;";" EPM, SIMAP, 1340 RUE PISCINE, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;9TH INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC PROCESSING OF MATERIALS (EPM2018);IMPROVEMENT OF THE PROPERTIES OF LIGHT METAL MATRIX MICRO/NANOCOMPOSITE MATERIALS: MYTH OR REALITY?;"GARRIDO, M.;; DAVOUST, L.;; DAUDIN, R.;; SALVO, L.;; FAUTRELLE, Y.;";" GRENOBLE POLYTECH INST CNRS, SIMAP LAB, BP 75, F-38402 ST MARTIN DHERES, FRANCE.;";;
;9TH INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC PROCESSING OF MATERIALS (EPM2018);RELEVANCE OF LOW-RM MHD FOR SURFACE VISCOSIMETRY OF LIQUID METALS;"PATOUILLET, K.;; DAVOUST, L.;; DOCHE, O.;";" SIMAP EPM, 1340 RUE PISCINE, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;MAGNETOHYDRODYNAMICS;STALLING INSTABILITY OF ANNULAR LINEAR INDUCTION PUMPS;FAUTRELLE, YVES;" DOMAINE UNIV, SIMAP EPM LAB, GRENOBLE INP, BP 38402, ST MARTIN DHERES, FRANCE.;";;
;ISIJ INTERNATIONAL;MODIFICATION OF THE PRIMARY AND PERITECTIC PHASES IN DIRECTIONALLY SOLIDIFIED CU-20 WT.% SN ALLOY BY MAGNETIC FIELD;"FAUTRELLE, YVES; LI, XI";" SIMAP EPM MADYLAM G INP CNRS, PHELMA, F-38402 ST MARTIN DHERES, FRANCE.;";;
;MECHANICS OF TIME-DEPENDENT MATERIALS;MECHANICS OF AMORPHOUS SOLIDS-IDENTIFICATION AND CONSTITUTIVE MODELLING;"ESTEVEZ, R.;";" UNIV GRENOBLE, MAT SCI LAB, SIMAP, GRENOBLE, FRANCE.;";;
;SCRIPTA MATERIALIA;CORRELATION OF MICROSEGREGATION AND VARIANT DISTRIBUTION IN DIRECTIONALLY SOLIDIFIED NI-MN-GA ALLOYS;"FAUTRELLE, YVES; LI, XI";" ENSHMG, EPM MADYLAM, BP 38402, ST MARTIN DHERES, FRANCE.; ";;
;JOURNAL OF ALLOYS AND COMPOUNDS;EVOLUTION OF MICROSTRUCTURE AND MICROSEGREGATION IN NI-MN-GA ALLOYS DIRECTIONALLY SOLIDIFIED UNDER AXIAL MAGNETIC FIELD;"FAUTRELLE, YVES; LI, XI";" ENSHMG, EPM MADYLAM, BP 38402, ST MARTIN DHERES, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF PLASTICITY;DETWINNING PROCESS OF MARTENSITE IN NI58MN25GA17 AS A HIGH TEMPERATURE SHAPE MEMORY ALLOY UNDER UNIAXIAL COMPRESSION;"FAUTRELLE, YVES; LI, XI";" EPM MADYLAM, ENSHMG BP, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;18TH INTERNATIONAL CONFERENCE ON TEXTURES OF MATERIALS (ICOTOM-18);MARTENSITIC TRANSFORMATION, TWIN BOUNDARY AND PHASE INTERFACE MOBILITY OF DIRECTIONALLY SOLIDIFIED NI-MN-GA ALLOYS DURING COMPRESSION BY EBSD TRACING;DAI, YANCHAO;" EPM MADYLAM, ENSHMG BP, F-38402 ST MARTIN DHERES, FRANCE.; ";;
;MATERIALS SCIENCE AND TECHNOLOGY;CORRELATION BETWEEN MICROSTRUCTURES AND MECHANICAL PROPERTIES IN NI-RICH NI-MN-GA HIGH-TEMPERATURE SHAPE-MEMORY ALLOYS;"FAUTRELLE, YVES; MOREAU, RENE; LI, XI";" ENSHMG, EPM MADYLAM, F-38402 ST MARTIN DHERES, FRANCE.;";;
;PHYSICAL REVIEW D;COMPREHENSIVE APPROACH TO TAU-LEPTON PRODUCTION BY HIGH-ENERGY TAU NEUTRINOS PROPAGATING THROUGH THE EARTH;PAYET, KEVIN;" UNIV JOSEPH FOURIER GRENOBLE I, F-75010 PARIS, FRANCE.; ";;
SPINTEC;;;;;;
 ;AIP ADVANCES;NEAR-FIELD MAGNETO-CALORITRONIC NANOSCOPY ON FERROMAGNETIC NANOSTRUCTURES;"AUFFRET, S.;";" CNRS, CEA, SPINTEC, 17 RUE MARTYRS, F-38054 GRENOBLE, FRANCE.; ";;
 ;PHYSICAL REVIEW APPLIED;EMISSION OF COHERENT PROPAGATING MAGNONS BY INSULATOR-BASED SPIN-ORBIT-TORQUE OSCILLATORS;"KLEIN, O.;";" CNRS, CEA GRENOBLE, SPINTEC, F-38054 GRENOBLE, FRANCE.; ";;
 ;SCIENTIFIC REPORTS;CONTROLLING DZYALOSHINSKII-MORIYA INTERACTION VIA CHIRALITY DEPENDENT ATOMIC-LAYER STACKING, INSULATOR CAPPING AND ELECTRIC FIELD;"YANG, HONGXIN; BOULLE, OLIVIER; CHSHIEV, MAIRBEK";" UNIV GRENOBLE ALOES, INAC SPINTEC, GRENOBLE INP, CNRS,CEA, F-38000 GRENOBLE, FRANCE.; ";;
 ;2D MATERIALS;BAND-BENDING INDUCED BY CHARGED DEFECTS AND EDGES OF ATOMICALLY THIN TRANSITION METAL DICHALCOGENIDE FILMS;"DAU, M.; T.;; JAMET, M.;";" CEA, SPINTEC, INAC, F-38000 GRENOBLE, FRANCE.; ";;
 ;2D MATERIALS;BAND-BENDING INDUCED BY CHARGED DEFECTS AND EDGES OF ATOMICALLY THIN TRANSITION METAL DICHALCOGENIDE FILMS;"DAU, M.; T.;; JAMET, M.;";" CNRS, SPINTEC, INAC, F-38000 GRENOBLE, FRANCE.;";;
 ;APPLIED PHYSICS LETTERS;ELECTRICAL NUCLEATION AND DETECTION OF SINGLE 360 DEGREES HOMOCHIRAL NEEL DOMAIN WALLS MEASURED USING THE ANOMALOUS NERNST EFFECT;"AUFFRET, STEPHANE; VILA, LAURENT";" CEA, CNRS, SPINTEC, 17 RUE MARTYRS, F-38054 GRENOBLE, FRANCE.; ";;
 ;SCIENTIFIC REPORTS;SYMMETRY BROKEN SPIN REORIENTATION TRANSITION IN EPITAXIAL MGO/FE/MGO LAYERS WITH COMPETING ANISOTROPIES;CHSHIEV, MAIRBEK;" UNIV GRENOBLE PES, CEA, CNRS, INAC SPINTEC, F-38000 GRENOBLE, FRANCE.;";;
 ;PHYSICAL REVIEW APPLIED;THERMAL CONTRIBUTION TO THE SPIN-ORBIT TORQUE IN METALLIC-FERRIMAGNETIC SYSTEMS;"JE, S.; -G.;; GAUDIN, G.;; BOULLE, O.;";" CNRS, SPINTEC, F-38000 GRENOBLE, FRANCE.; ";;
 ;JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;TEMPORAL EVOLUTION OF THE SPIN-WAVE INTENSITY AND PHASE IN A LOCAL PARAMETRIC AMPLIFIER;"BRAECHER, T.;";" CNRS, SPINTEC, F-38000 GRENOBLE, FRANCE.; ";;
 ;JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;TEMPORAL EVOLUTION OF THE SPIN-WAVE INTENSITY AND PHASE IN A LOCAL PARAMETRIC AMPLIFIER;"BRAECHER, T.;";" CEA, INAC SPINTEC, F-38000 GRENOBLE, FRANCE.; ";;
 ;PHYSICAL REVIEW B;ELECTRICAL PROPERTIES OF EPITAXIAL YTTRIUM IRON GARNET ULTRATHIN FILMS AT HIGH TEMPERATURES;"THIERY, N.;; NALETOV, V.; V.;; VILA, L.;; MARTY, A.;; BRENAC, A.;; JACQUOT, J.; -F.;; KLEIN, O.;";" CEA GRENOBLE, CNRS, SPINTEC, F-38054 GRENOBLE, FRANCE.; ";;
 ;NPG ASIA MATERIALS;CHIRALITY-INDUCED ANTISYMMETRY IN MAGNETIC DOMAIN WALL SPEED;JE, SOONG-GEUN;" CEA, CNRS, SPINTEC, F-38054 GRENOBLE, FRANCE.;";;
 ;MOSCOW INTERNATIONAL SYMPOSIUM ON MAGNETISM (MISM 2017);NUMERICAL SIMULATION OF SPIN TRANSPORT IN SYSTEMS WITH COMPLEX GEOMETRY;VEDYAYEV, ANATOLY;" UJF GRENOBLE1, SPINTEC, UMR, CEA,CNRS,GRENOBLE INP,INAC, F-38054 GRENOBLE, FRANCE.;";;
 ;2018 IEEE INTERNATIONAL MAGNETIC CONFERENCE (INTERMAG);NOVEL APPROACH FOR NANO-PATTERNING MAGNETIC TUNNEL JUNCTIONS STACKS: A ROUTE TOWARDS HIGH DENSITY STT-RAM APPLICATION;"PREJBEANU, I.; L.;; NGUYEN, V.;; CHATTERJEE, J.;; PERRISSIN, N.;; LEQUEUX, S.;; AUFFRET, S.;; SOUSA, R.; C.;; VILA, L.;; DIENY, B.;";" CEA, INAC SPINTEC, GRENOBLE, FRANCE.; ";;
 ;2018 IEEE INTERNATIONAL MAGNETIC CONFERENCE (INTERMAG);NOVEL APPROACH FOR NANO-PATTERNING MAGNETIC TUNNEL JUNCTIONS STACKS: A ROUTE TOWARDS HIGH DENSITY STT-RAM APPLICATION;"SABON, P.;; GAUTIER, E.;";" CNRS, SPINTEC, GRENOBLE, FRANCE.; ";;
SYMMES;;;;;;
